code,ethnicity_final,population
E40000003,Afro-carribbean,1110230.4187527876
E40000003,Asian,1638303.3193840927
E40000003,Other,868661.5235109815
E40000003,White,5282179.738352138
E40000005,Afro-carribbean,123544.95114490583
E40000005,Asian,447768.2653619366
E40000005,Other,225694.0182996673
E40000005,White,8068010.76519349
E40000006,Afro-carribbean,58589.54756539156
E40000006,Asian,124315.69909006341
E40000006,Other,105166.40672465434
E40000006,White,5375010.346619891
E40000007,Afro-carribbean,162736.254362266
E40000007,Asian,336260.5209011182
E40000007,Other,153417.9207002589
E40000007,White,6110760.3040363565
E40000008,Afro-carribbean,284411.82664584013
E40000008,Asian,1005195.3083747325
E40000008,Other,243948.9130922833
E40000008,White,9054510.951887144
E40000009,Afro-carribbean,99091.70311650675
E40000009,Asian,581293.5864747611
E40000009,Other,164784.0270098935
E40000009,White,7736412.683398838
E40000010,Afro-carribbean,130517.90689553753
E40000010,Asian,468387.42195083917
E40000010,Other,280846.9713263857
E40000010,White,6302598.699827238
